securityCode,securityName,scale,trackingIndex,trackIndex
516160.SH,新能源ETF南方,3591190428,中证新能,399808.SZ
515300.SH,300红利低波ETF嘉实,3553411161.6,300红利低波,930740.CSI
159981.SZ,能源化工ETF建信,3531969379.094,易盛能化A,000201.CZC
563230.SH,卫星ETF富国,3524346411,卫星产业,931594.CSI
513690.SH,港股红利ETF博时,3491257508.1,恒生港股通高股息率指数,HSSCHKY.HI
159605.SZ,中概互联ETF广发,3272318671.63,中国互联网30,930604.CSI
515650.SH,消费50ETF富国,3266743200,CS消费50,931139.CSI
512290.SH,生物医药ETF国泰,3248389293.3,CS生医,930726.CSI
510900.SH,恒生中国企业ETF易方达,3235386162.8,国企指数,HSCEI.HI
520990.SH,港股央企红利ETF景顺,3228838149,国新港股通央企红利,931722.CSI
159732.SZ,消费电子ETF华夏,3217654045.248,消费电子,980030.CNI
159506.SZ,港股通创新药医疗ETF富国,3217574278.435,恒生港股通医疗保健指数,HSSCHI.HI
562060.SH,标普A股红利ETF华宝,3106753900.8,标普A股红利,CSPSADRP.CI
159766.SZ,旅游ETF富国,3089025888.687,中证旅游,930633.CSI
159687.SZ,亚太精选ETF南方,3083996731.932,富时亚太低碳精选指数,GPCSP006.FI
513910.SH,港股通央企红利ETF华夏,3055934700,港股通央企红利,931233.CSI
159623.SZ,成渝经济圈ETF博时,3002180827.2,成渝经济圈,931695.CSI
513780.SH,港股创新药ETF景顺,2987515818,港股通创新药,931250.CSI
513160.SH,港股科技ETF银华,2892999291.8,恒生港股通中国科技指数,HSSCT.HI
513880.SH,日经225ETF华安,2817686250,日经225,N225.GI
588790.SH,科创AIETF博时,2694290288,科创AI,950180.CSI
159207.SZ,高股息ETF广发,2634830113.23,智选高股息,932305.CSI
